split	context_len	region	shard_index	available_windows	target_windows
train	131072	cds	6	950933	534
train	131072	cds	7	950391	534
train	131072	cds	8	950467	534
train	131072	cds	9	951782	535
train	131072	cds	10	949392	534
train	131072	cds	11	949483	534
train	131072	exon	0	230684	267
train	131072	exon	1	230444	267
train	131072	exon	2	230231	267
train	131072	exon	3	231088	268
train	131072	exon	4	230937	268
train	131072	exon	5	229459	266
train	131072	exon	6	230064	267
train	131072	exon	7	230276	267
train	131072	exon	8	229891	266
train	131072	exon	9	230435	267
train	131072	exon	10	230884	268
train	131072	exon	11	229918	266
train	131072	five_prime_utr	0	32746	89
train	131072	five_prime_utr	1	32446	88
train	131072	five_prime_utr	2	32668	89
train	131072	five_prime_utr	3	32503	88
train	131072	five_prime_utr	4	32855	89
train	131072	five_prime_utr	5	32830	89
train	131072	five_prime_utr	6	32742	89
train	131072	five_prime_utr	7	32833	89
train	131072	five_prime_utr	8	32785	89
train	131072	five_prime_utr	9	32988	90
train	131072	five_prime_utr	10	32587	89
train	131072	five_prime_utr	11	33109	90
train	131072	three_prime_utr	0	32874	89
train	131072	three_prime_utr	1	32554	88
train	131072	three_prime_utr	2	33103	90
train	131072	three_prime_utr	3	32842	89
train	131072	three_prime_utr	4	32633	89
train	131072	three_prime_utr	5	32585	88
train	131072	three_prime_utr	6	32642	89
train	131072	three_prime_utr	7	32509	88
train	131072	three_prime_utr	8	32824	89
train	131072	three_prime_utr	9	33014	90
train	131072	three_prime_utr	10	32781	89
train	131072	three_prime_utr	11	32974	90
train	131072	intron	0	542896	356
train	131072	intron	1	543665	357
train	131072	intron	2	543474	356
train	131072	intron	3	542176	356
train	131072	intron	4	542701	356
train	131072	intron	5	542209	356
train	131072	intron	6	543896	357
train	131072	intron	7	543077	356
train	131072	intron	8	542501	356
train	131072	intron	9	542243	356
train	131072	intron	10	542187	356
train	131072	intron	11	541741	355
train	131072	gene	0	107905	89
train	131072	gene	1	108697	89
train	131072	gene	2	108110	89
train	131072	gene	3	107817	89
train	131072	gene	4	108373	89
train	131072	gene	5	108411	89
train	131072	gene	6	108701	89
train	131072	gene	7	108353	89
train	131072	gene	8	108505	89
train	131072	gene	9	108100	89
train	131072	gene	10	107974	89
train	131072	gene	11	108139	89
train	131072	mrna	0	22397	53
train	131072	mrna	1	22626	54
train	131072	mrna	2	22467	53
train	131072	mrna	3	22574	53
train	131072	mrna	4	22604	53
train	131072	mrna	5	22509	53
train	131072	mrna	6	22626	54
train	131072	mrna	7	22680	54
train	131072	mrna	8	22496	53
train	131072	mrna	9	22555	53
train	131072	mrna	10	22895	54
train	131072	mrna	11	22608	54
train	131072	transcript	0	357	32
train	131072	transcript	1	409	37
train	131072	transcript	2	356	32
train	131072	transcript	3	385	34
train	131072	transcript	4	415	37
train	131072	transcript	5	429	38
train	131072	transcript	6	399	36
train	131072	transcript	7	399	36
train	131072	transcript	8	385	35
train	131072	transcript	9	431	39
train	131072	transcript	10	379	34
train	131072	transcript	11	412	37
train	131072	background	0	1698	269
train	131072	background	1	1679	266
train	131072	background	2	1722	272
train	131072	background	3	1705	270
train	131072	background	4	1694	268
train	131072	background	5	1701	269
train	131072	background	6	1644	260
train	131072	background	7	1697	269
train	131072	background	8	1669	264
train	131072	background	9	1652	261
train	131072	background	10	1732	274
train	131072	background	11	1653	262
validation	131072	all	0	344064	4155
validation	131072	all	1	345909	4178
validation	131072	all	2	344029	4155
validation	131072	all	3	344282	4158
validation	131072	all	4	344680	4163
validation	131072	all	5	345707	4175
validation	131072	all	6	344321	4159
validation	131072	all	7	345444	4172
validation	131072	all	8	344523	4161
validation	131072	all	9	346755	4188
validation	131072	all	10	345911	4178
validation	131072	all	11	344308	4158
test	131072	all	0	169540	4159
test	131072	all	1	169880	4167
test	131072	all	2	170497	4183
test	131072	all	3	169897	4168
test	131072	all	4	169490	4158
test	131072	all	5	169891	4168
test	131072	all	6	169872	4167
test	131072	all	7	170372	4180
test	131072	all	8	169610	4161
test	131072	all	9	169760	4164
test	131072	all	10	168974	4145
test	131072	all	11	170402	4180
